task,method,available,sampled,status,model,candidate_rows,csvs,note
CD,MHM,1598,10,ok,,,,
CD,MHM,,,,CodeBERT,1209,evaluation/result/repro_rerun_20260610_AEST/codebert_cd_mhm_repro_20260610_AEST.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codebert_cd_mhm_20260607_112251_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__rerun_mhm_cd_vd/rerun_codebert_cd_mhm_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codebert_cd_mhm_20260607_112251_AEST_s2119_l1881.csv,
CD,MHM,,,,CodeGPT,498,evaluation/result/repro_rerun_20260610_AEST/codegpt_cd_mhm_repro_20260610_AEST.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codegpt_cd_mhm_20260607_112251_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__rerun_mhm_cd_vd/rerun_codegpt_cd_mhm_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codegpt_cd_mhm_20260607_112251_AEST_s1583_l2417.csv,
CD,MHM,,,,CodeT5,750,evaluation/result/adapted_attacks/adapted_codet5_cd_mhm_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codet5_cd_mhm_20260607_112251_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__rerun_mhm_cd_vd/rerun_codet5_cd_mhm_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codet5_cd_mhm_20260607_112251_AEST_s0650_l3350.csv,
CD,CARROT,988,10,ok,,,,
CD,CARROT,,,,CodeBERT,901,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__CloneDetection__attack__result/attack_carrot_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codebert_cd_carrot_20260607_112251_AEST.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codebert_cd_carrot_20260607_112251_AEST_s2422_l1578.csv,
CD,CARROT,,,,CodeGPT,412,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__CloneDetection__attack__result/attack_carrot_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codegpt_cd_carrot_20260607_112251_AEST.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codegpt_cd_carrot_20260607_112251_AEST_s2050_l1950.csv,
CD,CARROT,,,,CodeT5,328,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__CloneDetection__attack__result/attack_carrot_all.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codet5_cd_carrot_20260607_112251_AEST.csv;evaluation/result/cd_vd_native_rerun_20260607_112251_AEST/codet5_cd_carrot_20260607_112251_AEST_s1015_l2985.csv,
CD,ALERT,1699,10,ok,,,,
CD,ALERT,,,,CodeBERT,1204,CodeBERT/CloneDetection/attack/result/attack_alert_all_20260607_112251_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__CloneDetection__attack__result/attack_alert_all.csv;CodeBERT/CloneDetection/attack/result/attack_alert_20260607_112251_AEST_s0140_l3860.csv,
CD,ALERT,,,,CodeGPT,544,CodeGPT/CloneDetection/attack/result/attack_alert_all_20260607_112251_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__CloneDetection__attack__result/attack_alert_all.csv;CodeGPT/CloneDetection/attack/result/attack_alert_20260607_112251_AEST_s0087_l3913.csv,
CD,ALERT,,,,CodeT5,199,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__CloneDetection__attack__result/attack_alert_all.csv;CodeT5/CloneDetection/attack/result/attack_alert_20260607_112251_AEST_s0000_l1000.csv,
CD,BeamAttack,1004,10,ok,,,,
CD,BeamAttack,,,,CodeBERT,695,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__CloneDetection__attack__result/attack_beam_all.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__cd_vd_matrix/CodeBERT/CloneDetection/attack/result/adapted_beam_all.csv;CodeBERT/CloneDetection/attack/result/attack_beam_20260607_112251_AEST_s0052_l3948.csv;CodeBERT/CloneDetection/attack/result/attack_beam_20260607_112251_AEST_s0000_l1000.csv,
CD,BeamAttack,,,,CodeGPT,230,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__CloneDetection__attack__result/attack_beam_all.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__cd_vd_matrix/CodeGPT/CloneDetection/attack/result/adapted_beam_all.csv;CodeGPT/CloneDetection/attack/result/attack_beam_20260607_112251_AEST_s0000_l1000_gpu1.csv;CodeGPT/CloneDetection/attack/result/attack_beam_20260607_112251_AEST_s0034_l3966.csv,
CD,BeamAttack,,,,CodeT5,301,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__CloneDetection__attack__result/attack_beam_all.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__cd_vd_matrix/CodeT5/CloneDetection/attack/result/adapted_beam_all.csv;CodeT5/CloneDetection/attack/result/attack_beam_20260607_112251_AEST_s0000_l1000.csv,
CD,CODA,871,10,ok,,,,
CD,CODA,,,,CodeBERT,400,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__CloneDetection__attack__result/attack_coda_all.csv;CodeBERT/CloneDetection/attack/result/attack_coda_20260607_112251_AEST_s0000_l1000.csv,
CD,CODA,,,,CodeGPT,233,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__CloneDetection__attack__result/attack_coda_all.csv;CodeGPT/CloneDetection/attack/result/attack_coda_20260607_112251_AEST_s0000_l1000.csv,
CD,CODA,,,,CodeT5,271,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__CloneDetection__attack__result/attack_coda_all.csv;CodeT5/CloneDetection/attack/result/attack_coda_20260607_112251_AEST_s0000_l1000.csv,
CD,ITGen,700,10,ok,,,,
CD,ITGen,,,,CodeBERT,405,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__cd_vd_matrix/CodeBERT/CloneDetection/attack/result/adapted_itgen_all.csv;CodeBERT/CloneDetection/attack/result/attack_itgen_20260607_112251_AEST_s0000_l1000.csv,
CD,ITGen,,,,CodeGPT,180,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__cd_vd_matrix/CodeGPT/CloneDetection/attack/result/adapted_itgen_all.csv;CodeGPT/CloneDetection/attack/result/attack_itgen_20260607_112251_AEST_s0000_l1000.csv,
CD,ITGen,,,,CodeT5,124,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__cd_vd_matrix/CodeT5/CloneDetection/attack/result/adapted_itgen_all.csv;CodeT5/CloneDetection/attack/result/attack_itgen_20260607_112251_AEST_s0000_l1000.csv,
VD,MHM,1126,10,ok,,,,
VD,MHM,,,,CodeBERT,276,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__rerun_mhm_cd_vd/rerun_codebert_vd_mhm_all.csv,
VD,MHM,,,,CodeGPT,398,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/evaluation__result__adapted_attacks__rerun_mhm_cd_vd/rerun_codegpt_vd_mhm_all.csv,
VD,MHM,,,,CodeT5,452,evaluation/result/adapted_attacks/adapted_codet5_vd_mhm_all.csv,
VD,CARROT,958,10,ok,,,,
